TBK_t1,TBK_t2,TBK_t3
6.24,6.1,6.17
6.1,6.17,6.17
6.17,6.17,6.17
6.17,6.17,6.17
6.17,6.17,6.17
8.3,7.43,7.865
7.43,7.865,7.865
7.865,7.865,7.865
7.865,7.865,7.865
7.865,7.865,7.865
7.8,7.93,7.865
7.93,7.865,7.865
7.865,7.865,7.865
7.865,7.865,7.865
7.865,7.865,7.865
6.46,6.2,6.33
6.2,6.33,6.33
6.33,6.33,6.33
6.33,6.33,6.33
6.33,6.33,6.33
8.07,7.1,7.585
7.1,7.585,7.585
7.585,7.585,7.585
7.585,7.585,7.585
7.585,7.585,7.585
7.32,6.4,6.86
6.4,6.86,6.86
6.86,6.86,6.86
6.86,6.86,6.86
6.86,6.86,6.86
6.71,6.7,6.705
6.7,6.705,6.705
6.705,6.705,6.705
6.705,6.705,6.705
6.705,6.705,6.705
8.28,6.73,7.505
6.73,7.505,7.505
7.505,7.505,7.505
